电影名称,下载链接
Successor,magnet:?xt=urn:btih:3e6644f11a404b916302e5559cb523893e15aec1&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%8a%93%e5%a8%83%e5%a8%83.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
Land of Broken Hearts,magnet:?xt=urn:btih:2525e8e6bd020dc033ad8ec634005ef40969bd49&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e8%b4%9f%e8%b4%9f%e5%be%97%e6%ad%a3.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
Gone with the Boat,magnet:?xt=urn:btih:02ba95c2948cc5aca231a5a141a94f000f84bee9&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e4%b9%98%e8%88%b9%e8%80%8c%e5%8e%bb.2023.BD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
In Broad Daylight,magnet:?xt=urn:btih:2d6cc0ecf30f0e628c107f0aa787c7abce68e353&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e7%99%bd%e6%97%a5%e4%b9%8b%e4%b8%8b.2023.HD.1080P.%e5%9b%bd%e7%b2%a4%e5%8f%8c%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
劫机/劫机1971(港)/亡命劫机(台),magnet:?xt=urn:btih:45ea6e8fb735e5ad2bc0c8cd0485cc6ae0aa45a5&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%8a%ab%e6%9c%ba.2024.BD.1080P.%e9%9f%a9%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
图腾/女孩的成长图腾(港)/最后一次的生日派对(台),magnet:?xt=urn:btih:c460d0e50d44b3b5dce740ac4a944e89988a10b4&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%9b%be%e8%85%be.2023.BD.1080P.%e8%a5%bf%e7%8f%ad%e7%89%99%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
姥姥的外孙/金孙爆富攻略(台)/全职乖孙(港)/中国家庭/粥味奇缘,magnet:?xt=urn:btih:0fa1e009c2505f49ea3d5e8bd796264e55d07e38&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%a7%a5%e5%a7%a5%e7%9a%84%e5%a4%96%e5%ad%99.2024.HD.1080P.%e6%b3%b0%e5%9b%bd%e5%8f%8c%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
捕鱼行动/捕鱼之放手一搏/放手一搏/No More Bets,magnet:?xt=urn:btih:0c19005ee07a5a88345520762cb80ee45a7d1791&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%ad%a4%e6%b3%a8%e4%b8%80%e6%8e%b7.2023.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
头脑特工队2/脑筋急转弯2(台)/玩转脑朋友2(港),magnet:?xt=urn:btih:37ebbe4423bd0b31dff141ab3303540f499bd430&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%a4%b4%e8%84%91%e7%89%b9%e5%b7%a5%e9%98%9f2.2024.BD.1080P.%e5%9b%bd%e8%8b%b1%e5%8f%8c%e8%af%ad%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
绝地战警：生死与共/绝地战警4/两个鬼佬4/重案梦幻重组再重组(港)/Bad Boys 4,magnet:?xt=urn:btih:0d1470a3f77d6102326257a2aef7835d853da8f5&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e7%bb%9d%e5%9c%b0%e6%88%98%e8%ad%a6%ef%bc%9a%e7%94%9f%e6%ad%bb%e4%b8%8e%e5%85%b1.2024.BD.1080P.%e5%9b%bd%e8%8b%b1%e5%8f%8c%e8%af%ad%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
逆岭/叛军岭,magnet:?xt=urn:btih:0d027f9db35c39e20a93ff72ecc0a162a13b6e0c&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e9%80%86%e5%b2%ad.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
Abang Adik,magnet:?xt=urn:btih:e5c8ceef0bd23304b9506ac41afd1ca17c9b9905&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%af%8c%e9%83%bd%e9%9d%92%e5%b9%b4.2023.BD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
Evacuate from the 21st Century,magnet:?xt=urn:btih:5b76f1c8462c656acc1ca6c9b6aacc822e0a36f8&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e4%bb%8e21%e4%b8%96%e7%ba%aa%e5%ae%89%e5%85%a8%e6%92%a4%e7%a6%bb.2024.HD.4K.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
因果报应/谁偷了垃圾桶？(台)/天道轮回,magnet:?xt=urn:btih:527e52b2135c145b91e2e0effa3a88d484688332&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%9b%a0%e6%9e%9c%e6%8a%a5%e5%ba%94.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
Pegasus  2,magnet:?xt=urn:btih:67abf19e4ba428509ae42b798de1010028250993&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e9%a3%9e%e9%a9%b0%e4%ba%ba%e7%94%9f2.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
城市猎人,magnet:?xt=urn:btih:6fe75bc08e1bb2afd26b92daf234bc5dc5ba74dd&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%9f%8e%e5%b8%82%e7%8c%8e%e4%ba%ba.2024.BD.1080P.%e6%97%a5%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
中国版百元之恋/YOLO,magnet:?xt=urn:btih:10c2f88765d78fa3310c74fff228f3320bdc2559&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e7%83%ad%e8%be%a3%e6%bb%9a%e7%83%ab.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
碟中谍7：致命清算（上）/碟中谍7/不可能的任务：致命清算  第一章(台)/职业特工队：死亡清算上集(港),magnet:?xt=urn:btih:ef8bba891d5ad1e13fecb585563589ea66a72270&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e7%a2%9f%e4%b8%ad%e8%b0%8d7%ef%bc%9a%e8%87%b4%e5%91%bd%e6%b8%85%e7%ae%97%ef%bc%88%e4%b8%8a%ef%bc%89.2023.HD.1080P.%e5%9b%bd%e8%8b%b1%e5%8f%8c%e8%af%ad%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
GT赛车：极速狂飙/GT赛车/头号赛车手/跑车浪漫旅(港)/GT：跨界玩家(台),magnet:?xt=urn:btih:c17e0f97325343ddb5dbcb31bfab0d8d036a432f&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.GT%e8%b5%9b%e8%bd%a6%ef%bc%9a%e6%9e%81%e9%80%9f%e7%8b%82%e9%a3%99.2023.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
铃芽之旅  / 铃芽的门锁 / 铃芽户缔 / 铃芽的关门之旅 / 铃芽小姐来锁门 / 你的门子(豆友译名) /  Suzume,magnet:?xt=urn:btih:72953ed923fd6a81e83a4d58b8b8d405c4b60947&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e9%93%83%e8%8a%bd%e4%b9%8b%e6%97%85.2022.BD.1080P.%e5%9b%bd%e6%97%a5%e5%8f%8c%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
封神第一部：朝歌风云/封神第一部/封神三部曲1/封神演义系列&middot;龙之战/封神三部曲之妖乱国殇,magnet:?xt=urn:btih:2a5983ccef271725665edb573dd6ce480075b417&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%b0%81%e7%a5%9e%e7%ac%ac%e4%b8%80%e9%83%a8%ef%bc%9a%e6%9c%9d%e6%ad%8c%e9%a3%8e%e4%ba%91.2023.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mp4&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
蓝甲虫,magnet:?xt=urn:btih:330dc67dacf3236c411391d2e3ca22d991182c4f&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e8%93%9d%e7%94%b2%e8%99%ab.2023.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
疯狂元素城/元素大都会(港)/元素方城市(台)/元素世界,magnet:?xt=urn:btih:81a8c548f30ce99f5ef7d6e6f150ea11e0ead2be&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e7%96%af%e7%8b%82%e5%85%83%e7%b4%a0%e5%9f%8e.2023.BD.1080P.%e5%9b%bd%e8%8b%b1%e5%8f%8c%e8%af%ad%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
茶啊二中  / 这班挺有闹 / 茶啊二中大电影 / Oh My School!,magnet:?xt=urn:btih:e37d2977a44cf0ceed71f7027dad78de46c89e95&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e8%8c%b6%e5%95%8a%e4%ba%8c%e4%b8%ad.2023.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
初见倾心/一见钟情/一切始于一见钟情(台)/一见钟情的概率/一见钟情的统计概率,magnet:?xt=urn:btih:2193eb41c9e399f18826b23ba73eaef012ab5a2a&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%88%9d%e8%a7%81%e5%80%be%e5%bf%83.2023.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
回应我  / 鬼手鬼手 请开口(台) / 手灵(港),magnet:?xt=urn:btih:84c82599f0b951cf1f5003dfbfb8063ae2816b0b&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%9b%9e%e5%ba%94%e6%88%91.2023.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
我的错误  / 我的过错,magnet:?xt=urn:btih:64cd98f7973baa34134879e60c0064ed73cd3f83&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%88%91%e7%9a%84%e9%94%99%e8%af%af.2023.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
忍者神龟：变种大乱斗/忍者龟：变异危机(港)/忍者龟：变种大乱斗(台)/新忍者神龟/忍者神龟重启版,magnet:?xt=urn:btih:57da146d9503817558a150048381a6c05af6999d&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%bf%8d%e8%80%85%e7%a5%9e%e9%be%9f%ef%bc%9a%e5%8f%98%e7%a7%8d%e5%a4%a7%e4%b9%b1%e6%96%97.2023.HD.1080P.%e8%8b%b1%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
芭比  / 芭比娃娃 / 芭比真人版 / 芭比娃娃真人版,magnet:?xt=urn:btih:14e220563ad4b7832ffccef66dc9b35112bf6728&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e8%8a%ad%e6%af%94.2023.HD.1080P.%e8%8b%b1%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
星条红与皇室蓝  / 星条红与王室蓝 / 红，白与皇室蓝 / 星条旗与皇室蓝 / 王室绯闻守则(台),magnet:?xt=urn:btih:38c87bf24fa8ad968e6bcee5526b8354027c2294&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%98%9f%e6%9d%a1%e7%ba%a2%e4%b8%8e%e7%9a%87%e5%ae%a4%e8%93%9d.2023.BD.1080P.%e8%8b%b1%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
气垫传奇  / 气垫,magnet:?xt=urn:btih:a2b7f46a020311cbe2f35347edc5cef828f62639&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%b0%94%e5%9e%ab%e4%bc%a0%e5%a5%87.2023.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
夺宝奇兵5：命运转盘/夺宝奇兵5/夺宝奇兵：命运轮盘(港)/印第安纳琼斯：命运轮盘(台)/夺宝奇兵5：纹章使者/夺宝奇兵5：印第安纳&middot;琼斯与纹章/印第安纳&middot;琼斯5,magnet:?xt=urn:btih:aa918ab49e12b54d6c070895b928ece5ab953fa6&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%a4%ba%e5%ae%9d%e5%a5%87%e5%85%b55%ef%bc%9a%e5%91%bd%e8%bf%90%e8%bd%ac%e7%9b%98.2023.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
Hidden  Blade,magnet:?xt=urn:btih:164973a1961eb8b2c5cbf0d8ee2f065be1a576d2&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%97%a0%e5%90%8d.2023.BD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
